active,sku,name,description,category,brand,price,price_unit,selling_unit,currency,tax_percent,cost,cost_unit,coverage,coverage_unit,stock_status,lead_time,attributes
true,NF-POR-01,Grey Porcelain tile,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Tiles,Northfield (fictional),1200.00,box,box,INR,18,,box,2.4,m2,Unknown,Confirm with supplier,"{""colour"":""grey""}"
true,NF-CER-01,Grey Ceramic tile,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Tiles,Northfield (fictional),175.00,m2,m2,INR,18,115.00,m2,1.8,m2,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""grey"",""material"":""Ceramic tile"",""finish"":""matte""}"
true,NF-LVT-01,Grey Luxury vinyl flooring,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Flooring,Northfield (fictional),200.00,box,box,INR,18,130.00,box,2.2,m2,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""grey"",""material"":""Luxury vinyl flooring"",""finish"":""matte""}"
true,NF-LAM-01,Grey Laminate flooring,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Flooring,Northfield (fictional),225.00,m2,m2,INR,18,145.00,m2,2.1,m2,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""grey"",""material"":""Laminate flooring"",""finish"":""matte""}"
true,NF-ADH-01,Grey Tile adhesive,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Accessories,Northfield (fictional),250.00,each,each,INR,18,160.00,each,,,Unknown,Confirm with supplier,"{""colour"":""grey"",""material"":""Tile adhesive"",""finish"":""matte""}"
true,NF-GRT-01,Grey Grout,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Accessories,Northfield (fictional),275.00,each,each,INR,18,,each,,,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""grey"",""material"":""Grout"",""finish"":""matte""}"
true,NF-UND-01,Grey Underlay,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Accessories,Northfield (fictional),300.00,m2,m2,INR,18,190.00,m2,,,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""grey""}"
true,NF-TRM-01,Grey Edge trim,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Accessories,Northfield (fictional),325.00,lm,lm,INR,18,205.00,lm,,,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""grey"",""material"":""Edge trim"",""finish"":""matte""}"
true,NF-POR-02,Oak Porcelain tile,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Tiles,Northfield (fictional),350.00,box,box,INR,18,220.00,box,2.4,m2,Unknown,Confirm with supplier,"{""colour"":""oak"",""material"":""Porcelain tile"",""finish"":""matte""}"
true,NF-CER-02,Oak Ceramic tile,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Tiles,Northfield (fictional),375.00,m2,m2,INR,18,235.00,m2,1.8,m2,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""oak"",""material"":""Ceramic tile"",""finish"":""matte""}"
true,NF-LVT-02,Oak Luxury vinyl flooring,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Flooring,Northfield (fictional),400.00,box,box,INR,18,,box,2.2,m2,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""oak"",""material"":""Luxury vinyl flooring"",""finish"":""matte""}"
true,NF-LAM-02,Oak Laminate flooring,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Flooring,Northfield (fictional),425.00,m2,m2,INR,18,265.00,m2,2.1,m2,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""oak"",""material"":""Laminate flooring"",""finish"":""matte""}"
true,NF-ADH-02,Oak Tile adhesive,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Accessories,Northfield (fictional),450.00,each,each,INR,18,280.00,each,,,Unknown,Confirm with supplier,"{""colour"":""grey""}"
true,NF-GRT-02,Oak Grout,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Accessories,Northfield (fictional),475.00,each,each,INR,18,295.00,each,,,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""oak"",""material"":""Grout"",""finish"":""matte""}"
true,NF-UND-02,Oak Underlay,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Accessories,Northfield (fictional),500.00,m2,m2,INR,18,310.00,m2,,,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""oak"",""material"":""Underlay"",""finish"":""matte""}"
true,NF-TRM-02,Oak Edge trim,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Accessories,Northfield (fictional),525.00,lm,lm,INR,18,,lm,,,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""oak"",""material"":""Edge trim"",""finish"":""matte""}"
true,NF-POR-03,Ivory Porcelain tile,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Tiles,Northfield (fictional),550.00,box,box,INR,18,340.00,box,2.4,m2,Unknown,Confirm with supplier,"{""colour"":""ivory"",""material"":""Porcelain tile"",""finish"":""matte""}"
true,NF-CER-03,Ivory Ceramic tile,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Tiles,Northfield (fictional),575.00,m2,m2,INR,18,355.00,m2,1.8,m2,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""ivory"",""material"":""Ceramic tile"",""finish"":""matte""}"
true,NF-LVT-03,Ivory Luxury vinyl flooring,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Flooring,Northfield (fictional),600.00,box,box,INR,18,370.00,box,2.2,m2,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""grey""}"
true,NF-LAM-03,Ivory Laminate flooring,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Flooring,Northfield (fictional),625.00,m2,m2,INR,18,385.00,m2,2.1,m2,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""ivory"",""material"":""Laminate flooring"",""finish"":""matte""}"
true,NF-ADH-03,Ivory Tile adhesive,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Accessories,Northfield (fictional),650.00,each,each,INR,18,,each,,,Unknown,Confirm with supplier,"{""colour"":""ivory"",""material"":""Tile adhesive"",""finish"":""matte""}"
true,NF-GRT-03,Ivory Grout,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Accessories,Northfield (fictional),675.00,each,each,INR,18,415.00,each,,,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""ivory"",""material"":""Grout"",""finish"":""matte""}"
true,NF-UND-03,Ivory Underlay,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Accessories,Northfield (fictional),700.00,m2,m2,INR,18,430.00,m2,,,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""ivory"",""material"":""Underlay"",""finish"":""matte""}"
true,NF-TRM-03,Ivory Edge trim,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Accessories,Northfield (fictional),725.00,lm,lm,INR,18,445.00,lm,,,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""ivory"",""material"":""Edge trim"",""finish"":""matte""}"
true,NF-POR-04,Graphite Porcelain tile,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Tiles,Northfield (fictional),750.00,box,box,INR,18,460.00,box,2.4,m2,Unknown,Confirm with supplier,"{""colour"":""grey""}"
true,NF-CER-04,Graphite Ceramic tile,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Tiles,Northfield (fictional),775.00,m2,m2,INR,18,,m2,1.8,m2,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""graphite"",""material"":""Ceramic tile"",""finish"":""matte""}"
true,NF-LVT-04,Graphite Luxury vinyl flooring,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Flooring,Northfield (fictional),800.00,box,box,INR,18,490.00,box,2.2,m2,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""graphite"",""material"":""Luxury vinyl flooring"",""finish"":""matte""}"
true,NF-LAM-04,Graphite Laminate flooring,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Flooring,Northfield (fictional),825.00,m2,m2,INR,18,505.00,m2,2.1,m2,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""graphite"",""material"":""Laminate flooring"",""finish"":""matte""}"
true,NF-ADH-04,Graphite Tile adhesive,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Accessories,Northfield (fictional),850.00,each,each,INR,18,520.00,each,,,Unknown,Confirm with supplier,"{""colour"":""graphite"",""material"":""Tile adhesive"",""finish"":""matte""}"
false,NF-GRT-04,Graphite Grout,Fictional Northfield Surfaces pilot catalogue. Verify specifications before real use.,Accessories,Northfield (fictional),875.00,each,each,INR,18,535.00,each,,,Catalogue says in stock (fictional),Confirm with supplier,"{""colour"":""graphite"",""material"":""Grout"",""finish"":""matte""}"
